ADDRESS,ZIPCODE,PRICE,PredictedPrice_CV,PredictedPrice_FT,Residual_CV,Residual_FT
2643 Nova Dr,32703,350000,359954.67,353545.06,-9955.0,-3545.0
2655 Sheila Dr,32712,426000,478568.55,447936.26,-52569.0,-21936.0
2672 Ginseng Ivy St,32703,510667,519059.5,512499.25,-8392.0,-1832.0
2695 Hilltop Loop,32712,619500,602572.89,610706.29,16927.0,8794.0
2720 Wekiva Meadows Ct,32712,389000,346182.72,372991.52,42817.0,16008.0
2747 Spicebush Loop,32712,510000,508521.72,508685.54,1478.0,1314.0
2778 Golden Barrel Ave,32712,558847,496712.08,539870.48,62135.0,18977.0
281 Edisto Pl,32712,385000,346525.75,372501.45,38474.0,12499.0
2814 Breezy Meadow Rd,32712,475000,535700.0,492744.38,-60700.0,-17744.0
282 W Summit St,32712,270000,370997.02,314392.53,-100997.0,-44393.0
2820 Nicholas Ln,32703,400000,428842.14,407515.23,-28842.0,-7515.0
2833 Hilltop Loop,32712,400000,434664.06,412380.94,-34664.0,-12381.0
2856 Park Meadow Dr,32703,545000,524134.21,551456.5,20866.0,-6456.0
2856 Rock Springs Rd,32712,220000,258643.1,231070.7,-38643.0,-11071.0
2918 Sand Oak Loop,32712,555000,618691.63,580702.9,-63692.0,-25703.0
2926 Falconhill Dr,32712,750000,652256.94,715286.25,97743.0,34714.0
2948 Ashwood Ct,32703,382000,375153.0,386271.89,6847.0,-4272.0
300 S Aurora Dr,32703,309000,326185.5,314049.67,-17186.0,-5050.0
3000 Clarcona Rd #2828,32703,118000,337992.71,203360.46,-219993.0,-85360.0
303 S Apollo Dr,32703,245000,270896.0,249080.0,-25896.0,-4080.0
3050 Rolling Hills Ln,32712,660000,617367.4,636409.1,42633.0,23591.0
3141 Oak Alley Dr,32703,1300000,651637.77,1085535.57,648362.0,214464.0
3193 Country Side Dr,32712,340000,401569.62,357483.06,-61570.0,-17483.0
3199 Tobago Ct,32703,275000,417693.81,335842.17,-142694.0,-60842.0
3222 Country Side Dr,32712,499999,526973.26,505349.66,-26974.0,-5351.0
3228 Country Side Dr,32712,624000,595319.62,612549.14,28680.0,11451.0
324 Morning Creek Cir,32712,349900,322253.86,340660.5,27646.0,9240.0
3308 Orange Rose Loop,32712,468190,479122.92,478600.97,-10933.0,-10411.0
331 Adrienne Dr,32703,289000,234227.5,277890.0,54772.0,11110.0
